node_name,node_name_source,node_code,node_code_source,node_type,node_type_source,owner,owner_source,latitude,latitude_source,longitude,longitude_source,elevation,elevation_source,province,province_source,operating_region,operating_region_source,copper_balancing_area,copper_balancing_area_source,notes,notes_source
BeauprÃ©,API,QC_BPR_DSS,API,Distribution,API,Hydro QuÃ©bec,API,47.057459,API,-70.922937,API,118,API,QC,API,Quebec,API,Quebec.a,API,NULL,API
Beauport,API,QC_BPT_DSS,API,Distribution,API,Hydro QuÃ©bec,API,46.884178,API,-71.209926,API,93,API,QC,API,Quebec,API,Quebec.a,API,NULL,API
Beauport JCT,API,QC_BPT_JCT,API,Junction,API,Hydro QuÃ©bec,API,46.901125,API,-71.244106,API,199,API,QC,API,Quebec,API,Quebec.a,API,NULL,API
Bergeronnes,API,QC_BRG_SWS,API,Switching,API,Hydro QuÃ©bec,API,48.341426,API,-69.467446,API,107,API,QC,API,Quebec,API,Quebec.b,API,NULL,API
Berri,API,QC_BRI_DSS,API,Distribution,API,Hydro QuÃ©bec,API,45.517008,API,-73.566018,API,32,API,QC,API,Quebec,API,Quebec.a,API,NULL,API
Bromptonville,API,QC_BRO_DSS,API,Distribution,API,Hydro QuÃ©bec,API,45.484009,API,-71.924502,API,210,API,QC,API,Quebec,API,Quebec.a,API,NULL,API
Brossard,API,QC_BRS_DSS,API,Distribution,API,Hydro QuÃ©bec,API,45.460177,API,-73.439814,API,19,API,QC,API,Quebec,API,Quebec.a,API,NULL,API
Brossard JCT,API,QC_BRS_JCT,API,Junction,API,Hydro QuÃ©bec,API,45.446874,API,-73.417464,API,18,API,QC,API,Quebec,API,Quebec.a,API,NULL,API
Bryson,API,QC_BRY_GSS,API,Generation,API,Hydro QuÃ©bec,API,45.660665,API,-76.632727,API,97,API,QC,API,Quebec,API,Quebec.a,API,NULL,API
Bersimis-1,API,QC_BS1_GSS,API,Generation,API,Hydro QuÃ©bec,API,49.295233,API,-69.551063,API,217,API,QC,API,Quebec,API,Quebec.b,API,NULL,API
Bersimis-2,API,QC_BS2_GSS,API,Generation,API,Hydro QuÃ©bec,API,49.171281,API,-69.225851,API,79,API,QC,API,Quebec,API,Quebec.b,API,NULL,API
Bois-Francs,API,QC_BSF_DSS,API,Distribution,API,Hydro QuÃ©bec,API,46.066785,API,-71.980638,API,125,API,QC,API,Quebec,API,Quebec.a,API,NULL,API
Beausite MÃ©tal,API,QC_BSM_ISS,API,Industrial,API,Hydro QuÃ©bec,API,45.760621,API,-71.946496,API,246,API,QC,API,Quebec,API,Quebec.a,API,NULL,API
Baie-Saint-Paul,API,QC_BSP_DSS,API,Distribution,API,Hydro QuÃ©bec,API,47.452379,API,-70.571569,API,284,API,QC,API,Quebec,API,Quebec.b,API,NULL,API
Les Basques,API,QC_BSQ_DSS,API,Distribution,API,Hydro QuÃ©bec,API,48.346519,API,-69.463010,API,83,API,QC,API,Quebec,API,Quebec.b,API,NULL,API
Brisay,API,QC_BSY_GSS,API,Generation,API,Hydro QuÃ©bec,API,54.449020,API,-70.512774,API,530,API,QC,API,Quebec,API,Quebec.b,API,NULL,API
Berthier,API,QC_BTH_DSS,API,Distribution,API,Hydro QuÃ©bec,API,46.095155,API,-73.170128,API,19,API,QC,API,Quebec,API,Quebec.a,API,NULL,API
Berthier JCT,API,QC_BTH_JCT,API,Junction,API,Hydro QuÃ©bec,API,45.954948,API,-73.357028,API,21,API,QC,API,Quebec,API,Quebec.a,API,NULL,API
Buckingham,API,QC_BUC_DSS,API,Distribution,API,Hydro QuÃ©bec,API,45.573478,API,-75.405579,API,94,API,QC,API,Quebec,API,Quebec.a,API,NULL,API
Buckingham JCT,API,QC_BUC_JCT,API,Junction,API,Hydro QuÃ©bec,API,45.554275,API,-75.400975,API,55,API,QC,API,Quebec,API,Quebec.a,API,NULL,API
Cabano,API,QC_CAB_DSS,API,Distribution,API,Hydro QuÃ©bec,API,47.671188,API,-68.884313,API,170,API,QC,API,Quebec,API,Quebec.a,API,NULL,API
Cacouna,API,QC_CAC_DSS,API,Distribution,API,Hydro QuÃ©bec,API,47.886627,API,-69.460957,API,78,API,QC,API,Quebec,API,Quebec.a,API,NULL,API
Chute-Ã -Caron,API,QC_CAC_GSS,API,Generation,API,Hydro QuÃ©bec,API,48.450727,API,-71.253783,API,63,API,QC,API,Quebec,API,Quebec.b,API,NULL,API
Calumet,API,QC_CAL_DSS,API,Distribution,API,Hydro QuÃ©bec,API,45.647799,API,-74.661673,API,54,API,QC,API,Quebec,API,Quebec.a,API,NULL,API
Chute-Allard,API,QC_CAL_GSS,API,Generation,API,Hydro QuÃ©bec,API,47.891495,API,-73.717945,API,373,API,QC,API,Quebec,API,Quebec.b,API,NULL,API
Carillon,API,QC_CAR_GSS,API,Generation,API,Hydro QuÃ©bec,API,45.569547,API,-74.382002,API,30,API,QC,API,Quebec,API,Quebec.a,API,NULL,API
Chute-Ã -la-Savane,API,QC_CAS_GSS,API,Generation,API,Hydro QuÃ©bec,API,48.751506,API,-71.840997,API,122,API,QC,API,Quebec,API,Quebec.b,API,NULL,API
Canara Biotech Inc.,API,QC_CBT_ISS,API,Industrial,API,Hydro QuÃ©bec,API,45.243321,API,-74.079839,API,36,API,QC,API,Quebec,API,Quebec.a,API,NULL,API
Canara Biotech Inc. JCT,API,QC_CBT_JCT,API,Junction,API,Hydro QuÃ©bec,API,45.246718,API,-74.086715,API,36,API,QC,API,Quebec,API,Quebec.a,API,NULL,API
Cascades Canada Saguenay,API,QC_CCS_ISS,API,Industrial,API,Hydro QuÃ©bec,API,48.435958,API,-71.252248,API,100,API,QC,API,Quebec,API,Quebec.b,API,NULL,API
Cascades Canada Saguenay JCT,API,QC_CCS_JCT,API,Junction,API,Hydro QuÃ©bec,API,48.442936,API,-71.260950,API,77,API,QC,API,Quebec,API,Quebec.b,API,NULL,API
Chute-du-diable,API,QC_CDD_GSS,API,Generation,API,Hydro QuÃ©bec,API,48.780431,API,-71.702435,API,159,API,QC,API,Quebec,API,Quebec.b,API,NULL,API
Coteau-du-Lac,API,QC_CDL_DSS,API,Distribution,API,Hydro QuÃ©bec,API,45.300181,API,-74.199156,API,43,API,QC,API,Quebec,API,Quebec.a,API,NULL,API
Cadillac,API,QC_CDL_GSS,API,Generation,API,Hydro QuÃ©bec,API,48.213977,API,-78.300422,API,327,API,QC,API,Quebec,API,Quebec.b,API,NULL,API
Coteau-du-Lac JCT,API,QC_CDL_JCT,API,Junction,API,Hydro QuÃ©bec,API,45.327520,API,-74.039279,API,36,API,QC,API,Quebec,API,Quebec.a,API,NULL,API
Chute-des-Passes,API,QC_CDP_DSS,API,Distribution,API,Hydro QuÃ©bec,API,49.840667,API,-71.163270,API,330,API,QC,API,Quebec,API,Quebec.b,API,NULL,API
Cadieux,API,QC_CDX_DSS,API,Distribution,API,Hydro QuÃ©bec,API,45.657026,API,-76.621328,API,105,API,QC,API,Quebec,API,Quebec.a,API,NULL,API
Chisasibi,API,QC_CHA_DSS,API,Distribution,API,Hydro QuÃ©bec,API,53.773600,API,-78.887645,API,25,API,QC,API,Quebec,API,Quebec.b,API,NULL,API
Charlesbourg,API,QC_CHB_DSS,API,Distribution,API,Hydro QuÃ©bec,API,46.886146,API,-71.321357,API,161,API,QC,API,Quebec,API,Quebec.a,API,NULL,API
Chibougamau,API,QC_CHB_TSS,API,Terminal,API,Hydro QuÃ©bec,API,49.783532,API,-74.651008,API,365,API,QC,API,Quebec,API,Quebec.b,API,NULL,API
Chicoutimi,API,QC_CHC_DSS,API,Distribution,API,Hydro QuÃ©bec,API,48.417842,API,-71.058089,API,66,API,QC,API,Quebec,API,Quebec.b,API,NULL,API
Chenaux,API,QC_CHE_DSS,API,Distribution,API,Hydro QuÃ©bec,API,46.355492,API,-72.545674,API,23,API,QC,API,Quebec,API,Quebec.a,API,NULL,API
Chenaux JCT,API,QC_CHE_JCT,API,Junction,API,Hydro QuÃ©bec,API,46.369423,API,-72.596840,API,32,API,QC,API,Quebec,API,Quebec.a,API,NULL,API
ChÃ¢teauguay,API,QC_CHG_DSS,API,Distribution,API,Hydro QuÃ©bec,API,45.253268,API,-73.869774,API,39,API,QC,API,Quebec,API,Quebec.a,API,NULL,API
Chute-Hemmings,API,QC_CHH_GSS,API,Generation,API,Hydro QuÃ©bec,API,45.863744,API,-72.451641,API,81,API,QC,API,Quebec,API,Quebec.a,API,NULL,API
Chigoubiche,API,QC_CHI_DSS,API,Distribution,API,Hydro QuÃ©bec,API,49.000394,API,-73.307749,API,347,API,QC,API,Quebec,API,Quebec.b,API,NULL,API
Chigoubiche JCT,API,QC_CHI_JCT,API,Junction,API,Hydro QuÃ©bec,API,49.819792,API,-74.431437,API,389,API,QC,API,Quebec,API,Quebec.b,API,NULL,API
Chelsea,API,QC_CHL_GSS,API,Generation,API,Hydro QuÃ©bec,API,45.511898,API,-75.779531,API,90,API,QC,API,Quebec,API,Quebec.a,API,NULL,API
Chamouchouane,API,QC_CHM_SWS,API,Switching,API,Hydro QuÃ©bec,API,48.665560,API,-72.713818,API,292,API,QC,API,Quebec,API,Quebec.b,API,NULL,API
Chicoutimi-Nord,API,QC_CHN_DSS,API,Distribution,API,Hydro QuÃ©bec,API,48.454039,API,-71.097314,API,95,API,QC,API,Quebec,API,Quebec.b,API,NULL,API
ChÃ©nier,API,QC_CHN_TSS,API,Terminal,API,Hydro QuÃ©bec,API,45.587730,API,-74.060394,API,46,API,QC,API,Quebec,API,Quebec.a,API,NULL,API
Chomedey,API,QC_CHO_TSS,API,Terminal,API,Hydro QuÃ©bec,API,45.561217,API,-73.802929,API,39,API,QC,API,Quebec,API,Quebec.a,API,NULL,API
Chapais,API,QC_CHP_DSS,API,Distribution,API,Hydro QuÃ©bec,API,49.789432,API,-74.858906,API,389,API,QC,API,Quebec,API,Quebec.b,API,NULL,API
Charette,API,QC_CHR_DSS,API,Distribution,API,Hydro QuÃ©bec,API,46.438819,API,-72.942639,API,126,API,QC,API,Quebec,API,Quebec.a,API,NULL,API
Chissibi,API,QC_CHS_SWS,API,Switching,API,Hydro QuÃ©bec,API,53.733522,API,-76.009175,API,174,API,QC,API,Quebec,API,Quebec.b,API,NULL,API
ChaudiÃ¨re,API,QC_CHU_DSS,API,Distribution,API,Hydro QuÃ©bec,API,46.699855,API,-71.294860,API,70,API,QC,API,Quebec,API,Quebec.a,API,NULL,API
ChenÃ©ville,API,QC_CHV_DSS,API,Distribution,API,Hydro QuÃ©bec,API,45.884646,API,-75.046091,API,221,API,QC,API,Quebec,API,Quebec.a,API,NULL,API
Charlevoix,API,QC_CHX_DSS,API,Distribution,API,Hydro QuÃ©bec,API,47.690757,API,-70.254534,API,166,API,QC,API,Quebec,API,Quebec.b,API,NULL,API
Chambly,API,QC_CHY_DSS,API,Distribution,API,Hydro QuÃ©bec,API,45.444682,API,-73.280861,API,19,API,QC,API,Quebec,API,Quebec.a,API,NULL,API
Charland,API,QC_CLD_DSS,API,Distribution,API,Hydro QuÃ©bec,API,45.560216,API,-73.646567,API,39,API,QC,API,Quebec,API,Quebec.a,API,NULL,API
Charland JCT,API,QC_CLD_JCT,API,Junction,API,Hydro QuÃ©bec,API,45.637410,API,-73.562580,API,41,API,QC,API,Quebec,API,Quebec.a,API,NULL,API
Carleton,API,QC_CLT_GSS,API,Generation,API,Hydro QuÃ©bec,API,48.173699,API,-66.118440,API,518,API,QC,API,Quebec,API,Quebec.a,API,NULL,API
Carleton JCT,API,QC_CLT_JCT,API,Junction,API,Hydro QuÃ©bec,API,48.117031,API,-66.157171,API,50,API,QC,API,Quebec,API,Quebec.a,API,NULL,API
Cleveland,API,QC_CLV_DSS,API,Distribution,API,Hydro QuÃ©bec,API,45.350572,API,-72.704489,API,121,API,QC,API,Quebec,API,Quebec.a,API,NULL,API
Compass YUL II,API,QC_CMP_ISS,API,Industrial,API,Hydro QuÃ©bec,API,45.423721,API,-73.913790,API,38,API,QC,API,Quebec,API,Quebec.a,API,NULL,API
Companie-MiniÃ¨re-QuÃ©bec-Cartier,API,QC_CMQ_ISS,API,Industrial,API,Hydro QuÃ©bec,API,50.033728,API,-66.801730,API,42,API,QC,API,Quebec,API,Quebec.b,API,NULL,API
Copper Mountain,API,QC_CMT_DSS,API,Distribution,API,Hydro QuÃ©bec,API,48.938005,API,-65.474435,API,545,API,QC,API,Quebec,API,Quebec.a,API,NULL,API
Coigny,API,QC_COI_DSS,API,Distribution,API,Hydro QuÃ©bec,API,49.056248,API,-77.968185,API,315,API,QC,API,Quebec,API,Quebec.b,API,NULL,API
Coleraine,API,QC_COL_DSS,API,Distribution,API,Hydro QuÃ©bec,API,45.937666,API,-71.318750,API,351,API,QC,API,Quebec,API,Quebec.a,API,NULL,API
Cowansville,API,QC_COW_DSS,API,Distribution,API,Hydro QuÃ©bec,API,45.204296,API,-72.762857,API,102,API,QC,API,Quebec,API,Quebec.a,API,NULL,API
Cournoyer,API,QC_COY_DSS,API,Distribution,API,Hydro QuÃ©bec,API,46.372775,API,-72.386962,API,25,API,QC,API,Quebec,API,Quebec.a,API,NULL,API
Cap-de-la-Madeleine,API,QC_CPM_DSS,API,Distribution,API,Hydro QuÃ©bec,API,46.401482,API,-72.547440,API,39,API,QC,API,Quebec,API,Quebec.a,API,NULL,API
Compagnie Papiers Stadacona S.E.C.,API,QC_CPS_ISS,API,Industrial,API,Hydro QuÃ©bec,API,46.828055,API,-71.215464,API,25,API,QC,API,Quebec,API,Quebec.a,API,NULL,API
Carignan,API,QC_CRG_TSS,API,Terminal,API,Hydro QuÃ©bec,API,45.972672,API,-73.157576,API,19,API,QC,API,Quebec,API,Quebec.a,API,NULL,API
CascapÃ©dia,API,QC_CSC_DSS,API,Distribution,API,Hydro QuÃ©bec,API,48.171836,API,-65.814957,API,46,API,QC,API,Quebec,API,Quebec.a,API,NULL,API
CogÃ©nÃ©ration Saint-FÃ©licien,API,QC_CSF_GSS,API,Generation,API,Hydro QuÃ©bec,API,48.638350,API,-72.433810,API,120,API,QC,API,Quebec,API,Quebec.b,API,NULL,API
